IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
146.56.135.88,4,4,0.00,223.66,9.15,SIN
152.67.194.140,4,4,0.00,235.93,8.94,SIN
129.154.222.92,4,4,0.00,227.93,8.55,SIN
146.56.185.174,4,4,0.00,237.56,7.07,SIN
132.226.224.4,4,4,0.00,172.87,5.75,ICN
