IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
162.159.21.194,4,4,0.00,83.17,9.12,SIN
172.64.154.148,4,4,0.00,82.91,8.92,SIN
108.162.192.0,4,4,0.00,79.80,8.82,SIN
104.18.36.164,4,4,0.00,83.55,8.81,SIN
198.41.223.121,4,4,0.00,83.32,8.79,SIN
172.64.52.127,4,4,0.00,83.93,8.71,SIN
172.64.48.226,4,4,0.00,83.44,8.69,SIN
108.162.198.232,4,4,0.00,74.90,8.59,NRT
108.162.198.175,4,4,0.00,63.89,8.55,NRT
162.159.38.16,4,4,0.00,69.24,8.33,NRT
