IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
162.159.44.10,4,4,0.00,69.10,9.71,NRT
162.159.38.163,4,4,0.00,64.87,9.69,NRT
172.64.49.122,4,4,0.00,82.76,9.47,SIN
108.162.198.180,4,4,0.00,61.99,9.39,NRT
162.159.39.188,4,4,0.00,64.15,9.36,NRT
172.64.157.221,4,4,0.00,82.46,9.29,SIN
162.159.38.252,4,4,0.00,70.23,9.24,NRT
162.159.38.177,4,4,0.00,69.28,9.21,NRT
108.162.192.0,4,4,0.00,82.57,9.19,SIN
162.159.26.183,4,4,0.00,80.85,8.58,SIN
