IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.64.229.7,4,4,0.00,55.69,10.22,NRT
162.159.45.156,4,4,0.00,59.29,10.11,NRT
198.41.222.61,4,4,0.00,83.04,9.99,SIN
162.159.44.248,4,4,0.00,54.74,9.79,NRT
198.41.223.252,4,4,0.00,82.84,9.77,SIN
162.159.45.53,4,4,0.00,63.12,9.73,NRT
104.18.36.109,4,4,0.00,82.94,9.61,SIN
172.64.48.226,4,4,0.00,81.53,9.28,SIN
172.64.157.157,4,4,0.00,83.29,9.21,SIN
198.41.223.133,4,4,0.00,82.59,8.86,SIN
