IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
144.34.228.143,4,4,0.00,142.25,9.17,LAX
104.194.86.189,4,4,0.00,142.66,8.94,LAX
80.251.222.170,4,4,0.00,144.52,8.75,LAX
192.243.112.82,4,4,0.00,144.53,8.67,LAX
74.82.196.239,4,4,0.00,104.60,7.85,NRT
