IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
162.159.44.101,4,4,0.00,59.85,8.24,NRT
162.159.38.128,4,4,0.00,73.93,7.56,NRT
108.162.198.151,4,4,0.00,80.90,7.11,NRT
162.159.39.157,4,4,0.00,66.50,7.10,NRT
172.64.158.67,4,4,0.00,81.20,7.09,SIN
172.64.52.127,4,4,0.00,78.19,7.00,SIN
162.159.45.28,4,4,0.00,69.56,6.70,NRT
162.159.38.97,4,4,0.00,56.10,6.61,NRT
162.159.45.210,4,4,0.00,64.61,6.43,NRT
162.159.38.215,4,4,0.00,57.42,5.67,NRT
