IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
162.159.44.81,4,4,0.00,50.81,9.99,NRT
198.41.211.167,4,4,0.00,81.47,9.88,SIN
162.159.44.221,4,4,0.00,59.81,9.69,NRT
162.159.38.128,4,4,0.00,59.24,9.57,NRT
108.162.198.185,4,4,0.00,67.00,9.52,NRT
162.159.38.180,4,4,0.00,59.81,9.49,NRT
108.162.198.117,4,4,0.00,71.98,9.41,NRT
108.162.198.45,4,4,0.00,67.58,9.11,NRT
162.159.39.157,4,4,0.00,54.66,8.98,NRT
162.159.44.101,4,4,0.00,50.69,8.90,NRT
