IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
152.69.228.177,4,4,0.00,225.63,9.20,SIN
152.69.231.22,4,4,0.00,228.91,9.05,SIN
193.122.120.10,4,4,0.00,226.05,9.03,SIN
144.24.78.162,4,4,0.00,229.53,8.77,SIN
146.56.135.88,4,4,0.00,221.53,7.41,SIN
