IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
162.159.45.235,4,4,0.00,60.09,10.09,NRT
162.159.39.135,4,4,0.00,67.42,10.06,NRT
172.64.34.151,4,4,0.00,79.50,10.03,SIN
108.162.198.133,4,4,0.00,68.87,9.94,NRT
162.159.58.65,4,4,0.00,81.09,9.84,SIN
108.162.198.116,4,4,0.00,49.13,9.77,NRT
162.159.61.183,4,4,0.00,80.81,9.74,SIN
172.64.145.121,4,4,0.00,82.64,9.74,SIN
172.64.145.227,4,4,0.00,83.34,9.53,SIN
172.64.40.39,4,4,0.00,82.51,9.43,SIN
