IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
193.122.113.180,4,4,0.00,243.32,8.98,SIN
146.56.135.88,4,4,0.00,244.18,7.35,SIN
129.154.222.92,4,4,0.00,256.10,7.01,SIN
152.67.194.140,4,4,0.00,239.13,6.59,SIN
146.56.185.174,4,4,0.00,240.78,5.88,SIN
