IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
27.50.48.111,4,4,0.00,158.70,6.75,SJC
38.150.2.229,4,4,0.00,147.01,6.60,LAX
202.81.230.146,4,4,0.00,72.28,6.08,HKG
154.194.0.131,4,4,0.00,158.02,5.60,SJC
154.12.93.167,4,4,0.00,156.61,5.33,LAX
