IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
192.243.112.82,4,4,0.00,146.93,9.25,LAX
80.251.222.170,4,4,0.00,147.07,8.92,LAX
74.82.196.239,4,4,0.00,95.24,7.72,NRT
178.157.50.52,4,4,0.00,144.67,6.24,LAX
95.181.188.140,4,4,0.00,146.69,6.18,LAX
