IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
45.78.25.182,4,4,0.00,45.15,9.75,HKG
45.78.37.195,4,4,0.00,45.40,9.71,HKG
202.81.230.146,4,4,0.00,69.05,9.30,HKG
202.85.53.74,4,4,0.00,102.22,8.96,HKG
1.161.47.76,4,4,0.00,146.87,8.39,TPE
