IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
146.56.135.88,4,4,0.00,222.14,8.96,SIN
193.122.113.180,4,4,0.00,239.86,8.93,SIN
152.69.228.177,4,4,0.00,241.07,8.44,SIN
129.154.222.92,4,4,0.00,252.30,8.14,SIN
132.226.224.4,4,4,0.00,169.21,5.57,ICN
