IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
162.159.38.232,4,4,0.00,68.32,9.41,NRT
108.162.192.0,4,4,0.00,83.99,9.33,SIN
162.159.44.179,4,4,0.00,64.98,9.18,NRT
162.159.61.183,4,4,0.00,81.43,9.16,SIN
104.18.33.203,4,4,0.00,82.47,9.04,SIN
172.64.52.127,4,4,0.00,81.63,9.01,SIN
162.159.24.131,4,4,0.00,84.52,8.80,SIN
162.159.38.89,4,4,0.00,58.32,8.48,NRT
108.162.198.95,4,4,0.00,75.37,8.33,NRT
162.159.7.39,4,4,0.00,82.02,7.21,SIN
