IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
74.82.196.239,4,4,0.00,109.71,9.58,NRT
199.19.107.81,4,4,0.00,145.89,9.40,LAX
80.251.222.170,4,4,0.00,145.15,9.28,LAX
144.34.230.128,4,4,0.00,146.62,9.00,LAX
178.157.50.52,4,4,0.00,146.86,8.48,LAX
