IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
162.159.38.148,4,4,0.00,63.51,10.14,NRT
172.64.155.135,4,4,0.00,81.63,10.08,SIN
162.159.38.48,4,4,0.00,61.42,10.02,NRT
108.162.198.77,4,4,0.00,66.54,9.84,NRT
162.159.58.65,4,4,0.00,81.92,9.83,SIN
162.159.1.204,4,4,0.00,82.01,9.81,SIN
162.159.45.92,4,4,0.00,63.94,9.77,NRT
162.159.45.35,4,4,0.00,60.95,9.74,NRT
162.159.39.38,4,4,0.00,70.87,9.57,NRT
104.18.38.109,4,4,0.00,82.01,9.09,SIN
