IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
162.159.45.61,4,4,0.00,63.29,9.26,NRT
172.64.153.26,4,4,0.00,84.86,8.98,SIN
172.64.151.123,4,4,0.00,85.50,8.88,SIN
104.18.37.235,4,4,0.00,84.59,8.84,SIN
162.159.0.31,4,4,0.00,85.10,8.69,SIN
172.64.148.58,4,4,0.00,83.49,8.64,SIN
162.159.39.239,4,4,0.00,64.37,8.54,NRT
162.159.41.128,4,4,0.00,85.48,8.50,SIN
172.64.53.166,4,4,0.00,84.20,8.47,SIN
172.64.38.42,4,4,0.00,84.83,8.22
